Trial,A,W,Direction,Method,MT,Result
13,0.6,0.1,1,Touch,1.05109,HIT
14,0.3,0.18,1,Pinch,5.005154,MISS
15,0.6,0.18,1,Touch,0.9148445,HIT
16,0.3,0.1,-1,Pinch,5.00135,MISS
17,0.6,0.1,-1,Touch,0.8386459,HIT
18,0.3,0.18,-1,Pinch,5.00808,MISS
19,0.6,0.18,-1,Touch,5.001568,MISS
20,0.3,0.1,1,Pinch,5.00386,MISS
21,0.6,0.1,1,Touch,5.006172,MISS
22,0.3,0.18,1,Pinch,5.006111,MISS
23,0.6,0.18,1,Touch,5.000183,MISS
24,0.3,0.1,-1,Pinch,5.005394,MISS
25,0.6,0.1,-1,Touch,5.001945,MISS
26,0.3,0.18,-1,Pinch,5.001854,MISS
27,0.6,0.18,-1,Touch,5.000298,MISS
28,0.3,0.1,1,Pinch,5.003548,MISS
0,0.3,0.1,-1,Pinch,1.946146,HIT
1,0.6,0.1,-1,Touch,1.373852,HIT
2,0.3,0.18,-1,Pinch,5.006413,MISS
3,0.6,0.18,-1,Touch,0.8535852,HIT
4,0.3,0.1,1,Pinch,5.007437,MISS
5,0.6,0.1,1,Touch,1.752562,HIT
6,0.3,0.18,1,Pinch,5.01265,MISS
7,0.6,0.18,1,Touch,0.8273487,HIT
8,0.3,0.1,-1,Pinch,5.006144,MISS
9,0.6,0.1,-1,Touch,1.253853,HIT
10,0.3,0.18,-1,Pinch,5.010025,MISS
11,0.6,0.18,-1,Touch,1.049973,HIT
12,0.3,0.1,1,Pinch,5.005756,MISS
13,0.6,0.1,1,Touch,1.174244,HIT
14,0.3,0.18,1,Pinch,5.005547,MISS
0,0.3,0.1,-1,Pinch,2.36085,HIT
1,0.6,0.1,-1,Touch,1.459148,HIT
2,0.3,0.18,-1,Pinch,5.004752,MISS
3,0.6,0.18,-1,Touch,0.6552458,HIT
4,0.3,0.1,1,Pinch,5.0104,MISS
5,0.6,0.1,1,Touch,0.9895983,HIT
6,0.3,0.18,1,Pinch,5.010585,MISS
7,0.6,0.18,1,Touch,0.8494129,HIT
8,0.3,0.1,-1,Pinch,5.010149,MISS
9,0.6,0.1,-1,Touch,5.002634,MISS
10,0.3,0.18,-1,Pinch,5.002083,MISS
11,0.6,0.18,-1,Touch,5.002392,MISS
12,0.3,0.1,1,Pinch,4.025211,HIT
0,0.3,0.1,-1,Pinch,1.265519,HIT
1,0.6,0.1,-1,Touch,2.794479,HIT
2,0.3,0.18,-1,Pinch,5.006952,MISS
3,0.6,0.18,-1,Touch,0.7130461,HIT
4,0.3,0.1,1,Pinch,5.008705,MISS
5,0.6,0.1,1,Touch,1.251293,HIT
6,0.3,0.18,1,Pinch,5.013359,MISS
7,0.6,0.18,1,Touch,5.01165,MISS
8,0.3,0.1,-1,Pinch,0.1249676,HIT
9,0.6,0.1,-1,Touch,5.004982,MISS
0,0.3,0.1,-1,Pinch,1.566271,HIT
1,0.6,0.1,-1,Touch,1.453728,HIT
2,0.3,0.18,-1,Pinch,5.01041,MISS
3,0.6,0.18,-1,Touch,0.789588,HIT
4,0.3,0.1,1,Pinch,5.001569,MISS
5,0.6,0.1,1,Touch,0.7984295,HIT
6,0.3,0.18,1,Pinch,5.006203,MISS
7,0.6,0.18,1,Touch,0.9937954,HIT
8,0.3,0.1,-1,Pinch,5.006987,MISS
9,0.6,0.1,-1,Touch,1.213011,HIT
10,0.3,0.18,-1,Pinch,5.008951,MISS
11,0.6,0.18,-1,Touch,0.7910461,HIT
12,0.3,0.1,1,Pinch,5.011959,MISS
13,0.6,0.1,1,Touch,1.648041,HIT
14,0.3,0.18,1,Pinch,5.007729,MISS
15,0.6,0.18,1,Touch,1.332268,HIT
16,0.3,0.1,-1,Pinch,5.002022,MISS
17,0.6,0.1,-1,Touch,0.8979759,HIT
18,0.3,0.18,-1,Pinch,5.004467,MISS
19,0.6,0.18,-1,Touch,0.8755302,HIT
20,0.3,0.1,1,Pinch,5.013138,MISS
21,0.6,0.1,1,Touch,0.846859,HIT
22,0.3,0.18,1,Pinch,5.001045,MISS
23,0.6,0.18,1,Touch,5.000031,MISS
0,0.3,0.1,-1,Pinch,1.219739,HIT
1,0.6,0.1,-1,Touch,1.740259,HIT
2,0.3,0.18,-1,Pinch,5.010054,MISS
3,0.6,0.18,-1,Touch,0.909945,HIT
4,0.3,0.1,1,Pinch,5.00688,MISS
5,0.6,0.1,1,Touch,1.053118,HIT
6,0.3,0.18,1,Pinch,5.002028,MISS
7,0.6,0.18,1,Touch,0.6579704,HIT
8,0.3,0.1,-1,Pinch,5.008432,MISS
9,0.6,0.1,-1,Touch,1.171566,HIT
10,0.3,0.18,-1,Pinch,5.009373,MISS
11,0.6,0.18,-1,Touch,5.004562,MISS
0,0.3,0.1,-1,Pinch,5.01073,MISS
1,0.6,0.1,-1,Touch,1.349268,HIT
2,0.3,0.18,-1,Pinch,5.013349,MISS
3,0.6,0.18,-1,Touch,1.606649,HIT
4,0.3,0.1,1,Pinch,5.005329,MISS
5,0.6,0.1,1,Touch,1.434668,HIT
6,0.3,0.18,1,Pinch,5.011126,MISS
7,0.6,0.18,1,Touch,1.088873,HIT
8,0.3,0.1,-1,Pinch,5.008585,MISS
0,0.3,0.1,-1,Pinch,1.178493,HIT
1,0.6,0.1,-1,Touch,1.401506,HIT
2,0.3,0.18,-1,Pinch,5.005331,MISS
3,0.6,0.18,-1,Touch,1.074667,HIT
4,0.3,0.1,1,Pinch,5.00892,MISS
5,0.6,0.1,1,Touch,0.851078,HIT
6,0.3,0.18,1,Pinch,5.009338,MISS
7,0.6,0.18,1,Touch,0.67066,HIT
8,0.3,0.1,-1,Pinch,5.009172,MISS
9,0.6,0.1,-1,Touch,5.000975,MISS
10,0.3,0.18,-1,Pinch,1.243029,HIT
0,0.3,0.1,-1,Pinch,5.012969,MISS
1,0.6,0.1,-1,Touch,1.607028,HIT
2,0.3,0.18,-1,Pinch,5.006906,MISS
3,0.6,0.18,-1,Touch,0.9130917,HIT
4,0.3,0.1,1,Pinch,5.00305,MISS
5,0.6,0.1,1,Touch,2.576948,HIT
6,0.3,0.18,1,Pinch,5.009472,MISS
0,0.3,0.1,-1,Pinch,5.005934,MISS
1,0.6,0.1,-1,Touch,1.134064,HIT
2,0.3,0.18,-1,Pinch,5.004463,MISS
3,0.6,0.18,-1,Touch,0.9755354,HIT
4,0.3,0.1,1,Pinch,5.010484,MISS
5,0.6,0.1,1,Touch,1.289515,HIT
6,0.3,0.18,1,Pinch,5.002722,MISS
